alignment	model
OG0000079_disco_tree1_aligned_trim.faa	LG
OG0000079_disco_tree2_aligned_trim.faa	LG
OG0000081_disco_tree1_aligned_trim.faa	LG
OG0000081_disco_tree3_aligned_trim.faa	JTT
OG0000081_disco_tree4_aligned_trim.faa	LG
OG0000082_disco_tree10_aligned_trim.faa	WAG
OG0000082_disco_tree1_aligned_trim.faa	WAG
OG0000082_disco_tree2_aligned_trim.faa	VT
OG0000082_disco_tree3_aligned_trim.faa	WAG
OG0000082_disco_tree5_aligned_trim.faa	JTT
OG0000082_disco_tree7_aligned_trim.faa	WAG
OG0000082_disco_tree8_aligned_trim.faa	WAG
OG0000082_disco_tree9_aligned_trim.faa	LG
OG0000087_disco_tree1_aligned_trim.faa	LG
OG0000087_disco_tree2_aligned_trim.faa	LG
OG0000088_disco_tree1_aligned_trim.faa	LG
OG0000088_disco_tree4_aligned_trim.faa	LG
OG0000090_disco_tree1_aligned_trim.faa	WAG
OG0000091_disco_tree1_aligned_trim.faa	LG
OG0000091_disco_tree2_aligned_trim.faa	LG
OG0000091_disco_tree3_aligned_trim.faa	LG
OG0000092_disco_tree1_aligned_trim.faa	LG
OG0000093_disco_tree1_aligned_trim.faa	WAG
OG0000093_disco_tree2_aligned_trim.faa	WAG
OG0000093_disco_tree3_aligned_trim.faa	WAG
OG0000093_disco_tree4_aligned_trim.faa	VT
OG0000093_disco_tree5_aligned_trim.faa	WAG
OG0000094_disco_tree1_aligned_trim.faa	VT
OG0000094_disco_tree2_aligned_trim.faa	LG
OG0000094_disco_tree3_aligned_trim.faa	LG
OG0000094_disco_tree4_aligned_trim.faa	LG
OG0000094_disco_tree5_aligned_trim.faa	LG
OG0000094_disco_tree7_aligned_trim.faa	LG
OG0000096_disco_tree1_aligned_trim.faa	LG
OG0000098_disco_tree1_aligned_trim.faa	WAG
OG0000098_disco_tree2_aligned_trim.faa	WAG
OG0000098_disco_tree3_aligned_trim.faa	WAG
OG0000098_disco_tree4_aligned_trim.faa	WAG
OG0000098_disco_tree5_aligned_trim.faa	WAG
OG0000103_disco_tree1_aligned_trim.faa	LG
OG0000103_disco_tree2_aligned_trim.faa	LG
OG0000103_disco_tree4_aligned_trim.faa	LG
OG0000103_disco_tree5_aligned_trim.faa	LG
OG0000106_disco_tree1_aligned_trim.faa	FLU
OG0000109_disco_tree1_aligned_trim.faa	WAG
OG0000110_disco_tree1_aligned_trim.faa	WAG
OG0000110_disco_tree3_aligned_trim.faa	WAG
OG0000111_disco_tree10_aligned_trim.faa	LG
OG0000111_disco_tree2_aligned_trim.faa	WAG
OG0000111_disco_tree3_aligned_trim.faa	WAG
OG0000111_disco_tree4_aligned_trim.faa	LG
OG0000111_disco_tree5_aligned_trim.faa	WAG
OG0000111_disco_tree6_aligned_trim.faa	WAG
OG0000111_disco_tree7_aligned_trim.faa	WAG
OG0000111_disco_tree8_aligned_trim.faa	WAG
OG0000111_disco_tree9_aligned_trim.faa	JTT
OG0000112_disco_tree1_aligned_trim.faa	JTT
OG0000113_disco_tree1_aligned_trim.faa	LG
OG0000113_disco_tree2_aligned_trim.faa	LG
OG0000113_disco_tree4_aligned_trim.faa	VT
OG0000114_disco_tree10_aligned_trim.faa	JTT
OG0000114_disco_tree11_aligned_trim.faa	LG
OG0000114_disco_tree12_aligned_trim.faa	LG
OG0000114_disco_tree13_aligned_trim.faa	LG
OG0000114_disco_tree1_aligned_trim.faa	LG
OG0000114_disco_tree2_aligned_trim.faa	JTT
OG0000114_disco_tree3_aligned_trim.faa	JTTDCMut
OG0000114_disco_tree4_aligned_trim.faa	JTTDCMut
OG0000114_disco_tree5_aligned_trim.faa	JTT
OG0000114_disco_tree6_aligned_trim.faa	LG
OG0000114_disco_tree7_aligned_trim.faa	LG
OG0000114_disco_tree8_aligned_trim.faa	JTTDCMut
OG0000114_disco_tree9_aligned_trim.faa	JTT
OG0000115_disco_tree1_aligned_trim.faa	LG
OG0000116_disco_tree1_aligned_trim.faa	LG
OG0000116_disco_tree2_aligned_trim.faa	LG
OG0000116_disco_tree3_aligned_trim.faa	LG
OG0000119_disco_tree1_aligned_trim.faa	LG
OG0000119_disco_tree2_aligned_trim.faa	LG
OG0000120_disco_tree2_aligned_trim.faa	VT
OG0000120_disco_tree3_aligned_trim.faa	WAG
OG0000120_disco_tree4_aligned_trim.faa	JTTDCMut
OG0000126_disco_tree2_aligned_trim.faa	LG
OG0000126_disco_tree3_aligned_trim.faa	LG
OG0000126_disco_tree4_aligned_trim.faa	LG
OG0000126_disco_tree5_aligned_trim.faa	LG
OG0000126_disco_tree6_aligned_trim.faa	LG
OG0000127_disco_tree1_aligned_trim.faa	VT
OG0000127_disco_tree4_aligned_trim.faa	FLU
OG0000128_disco_tree1_aligned_trim.faa	WAG
OG0000128_disco_tree2_aligned_trim.faa	VT
OG0000130_disco_tree1_aligned_trim.faa	LG
OG0000130_disco_tree2_aligned_trim.faa	VT
OG0000131_disco_tree1_aligned_trim.faa	LG
OG0000131_disco_tree2_aligned_trim.faa	LG
OG0000132_disco_tree1_aligned_trim.faa	WAG
OG0000134_disco_tree1_aligned_trim.faa	LG
OG0000135_disco_tree1_aligned_trim.faa	LG
OG0000135_disco_tree2_aligned_trim.faa	LG
OG0000135_disco_tree3_aligned_trim.faa	LG
