alignment	model
13_distribution_divergence/01_input_alignments/OG0000024_disco_tree6_aligned_trim.faa	LG
13_distribution_divergence/01_input_alignments/OG0000024_disco_tree7_aligned_trim.faa	LG
13_distribution_divergence/01_input_alignments/OG0000024_disco_tree8_aligned_trim.faa	LG
13_distribution_divergence/01_input_alignments/OG0000024_disco_tree9_aligned_trim.faa	LG
13_distribution_divergence/01_input_alignments/OG0000025_disco_tree1_aligned_trim.faa	WAG
13_distribution_divergence/01_input_alignments/OG0000025_disco_tree2_aligned_trim.faa	WAG
13_distribution_divergence/01_input_alignments/OG0000025_disco_tree3_aligned_trim.faa	WAG
13_distribution_divergence/01_input_alignments/OG0000026_disco_tree1_aligned_trim.faa	LG
13_distribution_divergence/01_input_alignments/OG0000026_disco_tree2_aligned_trim.faa	LG
13_distribution_divergence/01_input_alignments/OG0000026_disco_tree3_aligned_trim.faa	LG
13_distribution_divergence/01_input_alignments/OG0000027_disco_tree1_aligned_trim.faa	WAG
13_distribution_divergence/01_input_alignments/OG0000028_disco_tree10_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000028_disco_tree11_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000028_disco_tree12_aligned_trim.faa	VT
13_distribution_divergence/01_input_alignments/OG0000028_disco_tree1_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000028_disco_tree2_aligned_trim.faa	JTT_DCMut
13_distribution_divergence/01_input_alignments/OG0000028_disco_tree3_aligned_trim.faa	JTT_DCMut
13_distribution_divergence/01_input_alignments/OG0000028_disco_tree4_aligned_trim.faa	LG
13_distribution_divergence/01_input_alignments/OG0000028_disco_tree5_aligned_trim.faa	LG
13_distribution_divergence/01_input_alignments/OG0000028_disco_tree7_aligned_trim.faa	LG
13_distribution_divergence/01_input_alignments/OG0000028_disco_tree8_aligned_trim.faa	LG
13_distribution_divergence/01_input_alignments/OG0000029_disco_tree2_aligned_trim.faa	WAG
13_distribution_divergence/01_input_alignments/OG0000029_disco_tree3_aligned_trim.faa	WAG
13_distribution_divergence/01_input_alignments/OG0000030_disco_tree1_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000039_disco_tree1_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000045_disco_tree1_aligned_trim.faa	WAG
13_distribution_divergence/01_input_alignments/OG0000045_disco_tree2_aligned_trim.faa	WAG
13_distribution_divergence/01_input_alignments/OG0000045_disco_tree3_aligned_trim.faa	WAG
13_distribution_divergence/01_input_alignments/OG0000045_disco_tree4_aligned_trim.faa	WAG
13_distribution_divergence/01_input_alignments/OG0000045_disco_tree5_aligned_trim.faa	WAG
13_distribution_divergence/01_input_alignments/OG0000045_disco_tree6_aligned_trim.faa	WAG
13_distribution_divergence/01_input_alignments/OG0000045_disco_tree7_aligned_trim.faa	LG
13_distribution_divergence/01_input_alignments/OG0000046_disco_tree1_aligned_trim.faa	FLU
13_distribution_divergence/01_input_alignments/OG0000046_disco_tree2_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000047_disco_tree1_aligned_trim.faa	WAG
13_distribution_divergence/01_input_alignments/OG0000047_disco_tree2_aligned_trim.faa	WAG
13_distribution_divergence/01_input_alignments/OG0000047_disco_tree3_aligned_trim.faa	LG
13_distribution_divergence/01_input_alignments/OG0000047_disco_tree4_aligned_trim.faa	WAG
13_distribution_divergence/01_input_alignments/OG0000047_disco_tree5_aligned_trim.faa	VT
13_distribution_divergence/01_input_alignments/OG0000048_disco_tree2_aligned_trim.faa	WAG
13_distribution_divergence/01_input_alignments/OG0000049_disco_tree2_aligned_trim.faa	LG
13_distribution_divergence/01_input_alignments/OG0000049_disco_tree3_aligned_trim.faa	VT
13_distribution_divergence/01_input_alignments/OG0000049_disco_tree4_aligned_trim.faa	LG
13_distribution_divergence/01_input_alignments/OG0000049_disco_tree5_aligned_trim.faa	LG
13_distribution_divergence/01_input_alignments/OG0000049_disco_tree6_aligned_trim.faa	LG
13_distribution_divergence/01_input_alignments/OG0000049_disco_tree7_aligned_trim.faa	LG
13_distribution_divergence/01_input_alignments/OG0000049_disco_tree8_aligned_trim.faa	LG
13_distribution_divergence/01_input_alignments/OG0000052_disco_tree2_aligned_trim.faa	LG
13_distribution_divergence/01_input_alignments/OG0000054_disco_tree1_aligned_trim.faa	LG
13_distribution_divergence/01_input_alignments/OG0000054_disco_tree2_aligned_trim.faa	VT
13_distribution_divergence/01_input_alignments/OG0000058_disco_tree1_aligned_trim.faa	LG
13_distribution_divergence/01_input_alignments/OG0000059_disco_tree1_aligned_trim.faa	WAG
13_distribution_divergence/01_input_alignments/OG0000059_disco_tree4_aligned_trim.faa	WAG
13_distribution_divergence/01_input_alignments/OG0000061_disco_tree2_aligned_trim.faa	WAG
13_distribution_divergence/01_input_alignments/OG0000061_disco_tree3_aligned_trim.faa	VT
13_distribution_divergence/01_input_alignments/OG0000061_disco_tree4_aligned_trim.faa	WAG
13_distribution_divergence/01_input_alignments/OG0000061_disco_tree5_aligned_trim.faa	WAG
13_distribution_divergence/01_input_alignments/OG0000062_disco_tree1_aligned_trim.faa	LG
13_distribution_divergence/01_input_alignments/OG0000062_disco_tree2_aligned_trim.faa	LG
13_distribution_divergence/01_input_alignments/OG0000062_disco_tree3_aligned_trim.faa	LG
13_distribution_divergence/01_input_alignments/OG0000062_disco_tree4_aligned_trim.faa	LG
13_distribution_divergence/01_input_alignments/OG0000065_disco_tree2_aligned_trim.faa	JTT_DCMut
13_distribution_divergence/01_input_alignments/OG0000066_disco_tree1_aligned_trim.faa	LG
13_distribution_divergence/01_input_alignments/OG0000066_disco_tree3_aligned_trim.faa	LG
13_distribution_divergence/01_input_alignments/OG0000066_disco_tree4_aligned_trim.faa	LG
13_distribution_divergence/01_input_alignments/OG0000067_disco_tree1_aligned_trim.faa	JTT_DCMut
13_distribution_divergence/01_input_alignments/OG0000067_disco_tree2_aligned_trim.faa	WAG
13_distribution_divergence/01_input_alignments/OG0000068_disco_tree10_aligned_trim.faa	LG
13_distribution_divergence/01_input_alignments/OG0000068_disco_tree11_aligned_trim.faa	LG
13_distribution_divergence/01_input_alignments/OG0000068_disco_tree12_aligned_trim.faa	LG
13_distribution_divergence/01_input_alignments/OG0000068_disco_tree13_aligned_trim.faa	LG
13_distribution_divergence/01_input_alignments/OG0000068_disco_tree14_aligned_trim.faa	LG
13_distribution_divergence/01_input_alignments/OG0000068_disco_tree1_aligned_trim.faa	LG
13_distribution_divergence/01_input_alignments/OG0000068_disco_tree2_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000068_disco_tree3_aligned_trim.faa	JTT_DCMut
13_distribution_divergence/01_input_alignments/OG0000068_disco_tree4_aligned_trim.faa	JTT_DCMut
13_distribution_divergence/01_input_alignments/OG0000068_disco_tree5_aligned_trim.faa	JTT_DCMut
13_distribution_divergence/01_input_alignments/OG0000068_disco_tree6_aligned_trim.faa	JTT_DCMut
13_distribution_divergence/01_input_alignments/OG0000068_disco_tree7_aligned_trim.faa	JTT_DCMut
13_distribution_divergence/01_input_alignments/OG0000068_disco_tree8_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000068_disco_tree9_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000070_disco_tree2_aligned_trim.faa	LG
13_distribution_divergence/01_input_alignments/OG0000071_disco_tree1_aligned_trim.faa	WAG
13_distribution_divergence/01_input_alignments/OG0000072_disco_tree1_aligned_trim.faa	LG
13_distribution_divergence/01_input_alignments/OG0000072_disco_tree2_aligned_trim.faa	LG
13_distribution_divergence/01_input_alignments/OG0000072_disco_tree3_aligned_trim.faa	LG
13_distribution_divergence/01_input_alignments/OG0000072_disco_tree4_aligned_trim.faa	LG
13_distribution_divergence/01_input_alignments/OG0000072_disco_tree5_aligned_trim.faa	JTT_DCMut
13_distribution_divergence/01_input_alignments/OG0000072_disco_tree6_aligned_trim.faa	LG
13_distribution_divergence/01_input_alignments/OG0000074_disco_tree10_aligned_trim.faa	WAG
13_distribution_divergence/01_input_alignments/OG0000074_disco_tree11_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000074_disco_tree4_aligned_trim.faa	VT
13_distribution_divergence/01_input_alignments/OG0000074_disco_tree6_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000074_disco_tree7_aligned_trim.faa	WAG
13_distribution_divergence/01_input_alignments/OG0000074_disco_tree8_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000074_disco_tree9_aligned_trim.faa	JTT
