alignment	model
13_distribution_divergence/01_input_alignments/OG0000037_disco_tree1_aligned_trim.faa	LG
13_distribution_divergence/01_input_alignments/OG0000037_disco_tree2_aligned_trim.faa	LG
13_distribution_divergence/01_input_alignments/OG0000037_disco_tree3_aligned_trim.faa	LG
13_distribution_divergence/01_input_alignments/OG0000038_disco_tree1_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000038_disco_tree2_aligned_trim.faa	VT
13_distribution_divergence/01_input_alignments/OG0000039_disco_tree1_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000039_disco_tree2_aligned_trim.faa	JTT_DCMut
13_distribution_divergence/01_input_alignments/OG0000039_disco_tree3_aligned_trim.faa	LG
13_distribution_divergence/01_input_alignments/OG0000039_disco_tree4_aligned_trim.faa	LG
13_distribution_divergence/01_input_alignments/OG0000040_disco_tree1_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000040_disco_tree2_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000041_disco_tree1_aligned_trim.faa	JTT_DCMut
13_distribution_divergence/01_input_alignments/OG0000041_disco_tree2_aligned_trim.faa	LG
13_distribution_divergence/01_input_alignments/OG0000041_disco_tree3_aligned_trim.faa	JTT_DCMut
13_distribution_divergence/01_input_alignments/OG0000042_disco_tree1_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000042_disco_tree2_aligned_trim.faa	LG
13_distribution_divergence/01_input_alignments/OG0000042_disco_tree3_aligned_trim.faa	LG
13_distribution_divergence/01_input_alignments/OG0000044_disco_tree1_aligned_trim.faa	LG
13_distribution_divergence/01_input_alignments/OG0000044_disco_tree2_aligned_trim.faa	LG
13_distribution_divergence/01_input_alignments/OG0000044_disco_tree3_aligned_trim.faa	LG
13_distribution_divergence/01_input_alignments/OG0000046_disco_tree1_aligned_trim.faa	WAG
13_distribution_divergence/01_input_alignments/OG0000047_disco_tree1_aligned_trim.faa	JTT_DCMut
13_distribution_divergence/01_input_alignments/OG0000047_disco_tree2_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000048_disco_tree1_aligned_trim.faa	JTT_DCMut
13_distribution_divergence/01_input_alignments/OG0000048_disco_tree2_aligned_trim.faa	LG
13_distribution_divergence/01_input_alignments/OG0000048_disco_tree3_aligned_trim.faa	LG
13_distribution_divergence/01_input_alignments/OG0000048_disco_tree4_aligned_trim.faa	LG
13_distribution_divergence/01_input_alignments/OG0000050_disco_tree1_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000050_disco_tree2_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000051_disco_tree1_aligned_trim.faa	JTT_DCMut
13_distribution_divergence/01_input_alignments/OG0000051_disco_tree2_aligned_trim.faa	JTT_DCMut
13_distribution_divergence/01_input_alignments/OG0000051_disco_tree3_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000051_disco_tree4_aligned_trim.faa	JTT
