alignment	model
OG0000061_disco_tree3_aligned_trim.faa	JTTDCMut
OG0000062_disco_tree1_aligned_trim.faa	VT
OG0000062_disco_tree2_aligned_trim.faa	LG
OG0000063_disco_tree1_aligned_trim.faa	WAG
OG0000063_disco_tree2_aligned_trim.faa	WAG
OG0000064_disco_tree1_aligned_trim.faa	JTT
OG0000065_disco_tree1_aligned_trim.faa	JTT
OG0000066_disco_tree1_aligned_trim.faa	cpREV
OG0000066_disco_tree2_aligned_trim.faa	DCMut
OG0000066_disco_tree3_aligned_trim.faa	LG
OG0000067_disco_tree1_aligned_trim.faa	JTTDCMut
OG0000069_disco_tree1_aligned_trim.faa	JTT
OG0000069_disco_tree2_aligned_trim.faa	JTTDCMut
OG0000070_disco_tree1_aligned_trim.faa	LG
OG0000071_disco_tree1_aligned_trim.faa	JTT
OG0000072_disco_tree1_aligned_trim.faa	JTT
OG0000073_disco_tree1_aligned_trim.faa	JTT
OG0000073_disco_tree2_aligned_trim.faa	JTT
OG0000074_disco_tree1_aligned_trim.faa	JTTDCMut
OG0000074_disco_tree2_aligned_trim.faa	JTTDCMut
OG0000074_disco_tree3_aligned_trim.faa	JTTDCMut
OG0000075_disco_tree1_aligned_trim.faa	LG
OG0000075_disco_tree2_aligned_trim.faa	LG
OG0000075_disco_tree3_aligned_trim.faa	LG
OG0000076_disco_tree1_aligned_trim.faa	LG
OG0000077_disco_tree1_aligned_trim.faa	LG
OG0000077_disco_tree2_aligned_trim.faa	LG
OG0000079_disco_tree1_aligned_trim.faa	JTTDCMut
OG0000079_disco_tree2_aligned_trim.faa	JTT
OG0000080_disco_tree1_aligned_trim.faa	WAG
OG0000081_disco_tree1_aligned_trim.faa	VT
OG0000082_disco_tree1_aligned_trim.faa	LG
OG0000083_disco_tree1_aligned_trim.faa	JTTDCMut
OG0000083_disco_tree2_aligned_trim.faa	JTTDCMut
OG0000085_disco_tree1_aligned_trim.faa	VT
OG0000085_disco_tree2_aligned_trim.faa	WAG
OG0000086_disco_tree1_aligned_trim.faa	VT
OG0000087_disco_tree1_aligned_trim.faa	JTTDCMut
OG0000088_disco_tree1_aligned_trim.faa	JTT
OG0000088_disco_tree2_aligned_trim.faa	JTT
OG0000089_disco_tree1_aligned_trim.faa	LG
OG0000089_disco_tree2_aligned_trim.faa	mtZOA
OG0000090_disco_tree1_aligned_trim.faa	JTTDCMut
OG0000090_disco_tree2_aligned_trim.faa	WAG
OG0000091_disco_tree1_aligned_trim.faa	LG
OG0000093_disco_tree1_aligned_trim.faa	LG
OG0000094_disco_tree1_aligned_trim.faa	VT
OG0000094_disco_tree2_aligned_trim.faa	Blosum62
OG0000095_disco_tree1_aligned_trim.faa	JTT
OG0000096_disco_tree1_aligned_trim.faa	JTTDCMut
OG0000096_disco_tree2_aligned_trim.faa	JTTDCMut
OG0000096_disco_tree3_aligned_trim.faa	LG
OG0000097_disco_tree1_aligned_trim.faa	WAG
OG0000097_disco_tree2_aligned_trim.faa	FLU
OG0000098_disco_tree1_aligned_trim.faa	LG
OG0000098_disco_tree2_aligned_trim.faa	LG
OG0000098_disco_tree3_aligned_trim.faa	LG
OG0000099_disco_tree1_aligned_trim.faa	LG
OG0000099_disco_tree2_aligned_trim.faa	JTTDCMut
OG0000100_disco_tree1_aligned_trim.faa	FLU
OG0000100_disco_tree2_aligned_trim.faa	FLU
OG0000100_disco_tree3_aligned_trim.faa	FLU
OG0000101_disco_tree2_aligned_trim.faa	LG
OG0000102_disco_tree1_aligned_trim.faa	LG
OG0000104_disco_tree1_aligned_trim.faa	JTT
OG0000104_disco_tree2_aligned_trim.faa	LG
OG0000106_disco_tree1_aligned_trim.faa	LG
OG0000106_disco_tree2_aligned_trim.faa	JTT
OG0000106_disco_tree3_aligned_trim.faa	LG
OG0000107_disco_tree1_aligned_trim.faa	JTT
OG0000107_disco_tree2_aligned_trim.faa	LG
OG0000107_disco_tree3_aligned_trim.faa	JTT
OG0000108_disco_tree1_aligned_trim.faa	LG
OG0000109_disco_tree1_aligned_trim.faa	LG
OG0000109_disco_tree2_aligned_trim.faa	LG
OG0000109_disco_tree3_aligned_trim.faa	LG
OG0000110_disco_tree1_aligned_trim.faa	HIVb
OG0000110_disco_tree2_aligned_trim.faa	JTTDCMut
OG0000110_disco_tree3_aligned_trim.faa	LG
