alignment	model
13_distribution_divergence/01_input_alignments/OG0000002_disco_tree10_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000002_disco_tree11_aligned_trim.faa	HIVb
13_distribution_divergence/01_input_alignments/OG0000002_disco_tree12_aligned_trim.faa	HIVw
13_distribution_divergence/01_input_alignments/OG0000002_disco_tree13_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000002_disco_tree1_aligned_trim.faa	HIVw
13_distribution_divergence/01_input_alignments/OG0000002_disco_tree2_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000002_disco_tree3_aligned_trim.faa	HIVb
13_distribution_divergence/01_input_alignments/OG0000002_disco_tree4_aligned_trim.faa	HIVb
13_distribution_divergence/01_input_alignments/OG0000002_disco_tree5_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000002_disco_tree6_aligned_trim.faa	JTT_DCMut
13_distribution_divergence/01_input_alignments/OG0000002_disco_tree7_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000002_disco_tree8_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000002_disco_tree9_aligned_trim.faa	HIVb
13_distribution_divergence/01_input_alignments/OG0000003_disco_tree10_aligned_trim.faa	HIVw
13_distribution_divergence/01_input_alignments/OG0000003_disco_tree11_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000003_disco_tree12_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000003_disco_tree13_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000003_disco_tree1_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000003_disco_tree2_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000003_disco_tree3_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000003_disco_tree4_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000003_disco_tree5_aligned_trim.faa	FLU
13_distribution_divergence/01_input_alignments/OG0000003_disco_tree6_aligned_trim.faa	FLU
13_distribution_divergence/01_input_alignments/OG0000003_disco_tree7_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000003_disco_tree8_aligned_trim.faa	FLU
13_distribution_divergence/01_input_alignments/OG0000003_disco_tree9_aligned_trim.faa	HIVb
13_distribution_divergence/01_input_alignments/OG0000004_disco_tree10_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000004_disco_tree11_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000004_disco_tree12_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000004_disco_tree13_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000004_disco_tree14_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000004_disco_tree1_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000004_disco_tree2_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000004_disco_tree3_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000004_disco_tree4_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000004_disco_tree5_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000004_disco_tree6_aligned_trim.faa	HIVb
13_distribution_divergence/01_input_alignments/OG0000004_disco_tree7_aligned_trim.faa	HIVb
13_distribution_divergence/01_input_alignments/OG0000004_disco_tree8_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000004_disco_tree9_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000005_disco_tree3_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000005_disco_tree4_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000005_disco_tree5_aligned_trim.faa	Dayhoff
13_distribution_divergence/01_input_alignments/OG0000005_disco_tree6_aligned_trim.faa	LG
13_distribution_divergence/01_input_alignments/OG0000006_disco_tree1_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000007_disco_tree1_aligned_trim.faa	HIVb
13_distribution_divergence/01_input_alignments/OG0000007_disco_tree2_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000007_disco_tree3_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000007_disco_tree4_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000007_disco_tree5_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000008_disco_tree4_aligned_trim.faa	LG
13_distribution_divergence/01_input_alignments/OG0000009_disco_tree1_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000009_disco_tree2_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000009_disco_tree3_aligned_trim.faa	HIVb
13_distribution_divergence/01_input_alignments/OG0000009_disco_tree4_aligned_trim.faa	HIVw
13_distribution_divergence/01_input_alignments/OG0000009_disco_tree5_aligned_trim.faa	JTT
13_distribution_divergence/01_input_alignments/OG0000009_disco_tree6_aligned_trim.faa	HIVb
13_distribution_divergence/01_input_alignments/OG0000009_disco_tree7_aligned_trim.faa	JTT
